Diarienummer;Sîkbegrepp
M-1989-627;NYGèRDS 1:125 VéSTERHEJDE
M-1989-631;lUNDS 2:7 VéSTERHEJDE
M-1989-632;S:T MICHAEL 18 VISBY
M-1989-633;S:T CLEMENS 6 VISBY
M-1989-635;VIBBLE 1:380 VéSTERHEJDE
M-1989-639;BURGE 1:96 LUMMELUNDA
M-1989-640;BURGE 1:96 LUMMELUNDA
M-1989-641;BURGE 1:95 LUMMELUNDA
M-1989-642;BURGE 1:95 LUMMELUNDA
M-1989-643;DIGERèKRE 1:9 BARLINGBO
M-1989-644;DIGERèKRE 1:9 BARLINGBO
M-1989-645;SKOGBY 4:1 GAMMELGARN
M-1989-646;GôSTAVS 1:30 FRôJEL
M-1989-647;BOTVIDE 1:32 SANDA
M-1989-648;MULDE 1:11 1:12 1:22 FRôJEL
M-1989-649;URGUDE 1:6 SPROGE
M-1989-650;KUSE 1:40 VéSTERHEJDE
M-1989-651;KUSE 1:40 (D A) VéSTERHEJDE
M-1989-652;KUSE 1:40 VéSTERHEJDE
M-1989-653;KUSE 1:40 (D A) VéSTERHEJDE
M-1989-654;BURGE 1:134 LUMMELUNDA
M-1989-655;SIGSARVE 1:20 GRôTLINGBO
M-1989-656;KROKS 1:219 TOFTA
M-1989-657;BOTMUNDS 1:57 VéSTERHEJDE
M-1989-659;HEMMUNGS 1:12 SUDERGèRDE 1:25
M-1989-660;FRIGGARS 1:50 FèRô
M-1989-661;TJéLDER 1:86 BOGE
M-1989-662;MARPES 1:35 FèRô
M-1989-663;FALHAMMARS 1:21 GAMMELGARN
M-1989-664;FALHAMMARS 1:21 GAMMELGARN
M-1989-665;KéNNUNGS 1:43 HELLVI
M-1989-667;ANNEXEN 1:4 ETELHEM
M-1989-668;DYPLE 1:5 TOFTA
M-1989-669;LAJVES 1:29 LEVIDE
M-1989-670;TJELDER 1:55 BOGE
M-1989-672;TORS 1:4 VISBY
M-1989-674;HALNER 1:16 BRO
M-1989-675;HALNER 1:18 BRO
M-1989-676;RINGVIDA 5:1 FèRô
M-1989-677;LIFFEDARVE 4:1 ESKELHEM
M-1989-679;ALVANS 1:44 RUTE
M-1989-680;ODVALLS 7:1 FIDE
M-1989-681;HéSSLE 1:17 ôSTERGARN
M-1989-684;HEMMOR 1:26 M FL NéR
M-1989-686;BUTTERS 1:21 VéSKINDE
M-1989-687;HALLUTE 1:45 NéR
M-1989-688;LINDARVE 1:22 BURS
M-1989-689;KROKS 1:86 TOFTA
M-1989-690;SMèGèRDE 1:11 TOFTA
M-1989-691;SMèGèRDE 1:44 TOFTA
M-1989-692;KéLLGèRDS 1:9 STENKUMLA
M-1989-693;NORS 1:123 VéSKINDE
M-1989-694;SMèGèRDE 1:80 TOFTA
M-1989-695;KROKSTéDE 2:18 TOFTA
M-1989-696;HALLGèRDS 1:2 FRôJEL
M-1989-697;PUTTERSJAUS 1:30 RUTE
M-1989-698;BJéRS L:A 4:6 LéRBRO
M-1989-699;PRéSTGèRDEN 1:2 HEJDE
M-1989-700;KNUTS 1:10 VéSKINDE
M-1989-701;RINGVIDE 1:21 VéSKINDE
M-1989-702;HALNER 1:17 BRO
M-1989-703;LEKARVE 1:94 SANDA
M-1989-705;BèTICKE 1:21 ANGA
M-1989-706;BRINGSARVE 1:25 LEVIDE
M-1989-707;VéSKINDS 2:23 VéSKINDE
M-1989-708;LAUTER 1:96 FèRô
M-1989-709;VINOR 1:34 FèRô
M-1989-710;HéGVALDS 1:33 VéNGE
M-1989-711;RUNNE 1:62 DEL AV SANDA
M-1989-712;VéSKINDS 2:21 VéSKINDE
M-1989-724;MAFRIDS ST 1:124 VéSTERGARN
M-1989-725;BOMUNDS I HAMMAREN 1:18 1:26
M-1989-726;BUTVIER 1:6 SPROGE
M-1989-727;LAXARE 1:29 BOGE
M-1989-728;KLINTE 1:86 FOLLINGBO
M-1989-730;VERKEGARDS 7:1 FèRô
M-1989-731;TéLLUNGS 1:11 STèNGA
M-1989-732;LUNDERHAGE 1:4 FLERINGE
M-1989-733;BOTMUNDS 1:4 (AVST FR) VéSTER
M-1989-734;NYGRANNE 1:2 LUMMELUNDA
M-1989-735;NYGRANNE 1:2 LUMMELUNDA
M-1989-736;VESTRUME 1:36 RUTE
M-1989-737;SKOGBY 5:1 GAMMELGARN
M-1989-738;LANSA 1:21 FèRô
M-1989-739;ALVNE 1:8 ESKELHEM
M-1989-740;SIGVARDS 1:19 ESKELHEM
M-1989-741;SIGVARDS 1:30 ESKELHEM
M-1989-742;SIGVARDS 1:71 ESKELHEM
M-1989-743;BOTMUNDS 1:4 AVST FR VéSTERH
M-1989-744;LEKARVE 1:99 SANDA
M-1989-745;ANER 1:20 BOGE
M-1989-746;RUNNE 1:37 SANDA
M-1989-747;HéGDARVE 1:8 RONE
M-1989-748;BURGE 1:107 LUMMELUNDA
M-1989-749;ôSTERBY 1:229 D A OTHEM
M-1989-752;IRE L:A HELLVI
M-1989-753;MEDEBYS 1:21-1:26 1:36 EKEBY
M-1989-764;OLLAJVS 1:7 DEL AV LEVIDE
M-1989-767;SVARVARE 1:13 KLINTE
M-1989-769;BUTTER 1:37 VéSKINDE
M-1989-770;HALLSARVE 2:3 NéR
M-1989-771;GAJRVIDE 1:59 STORA GOTHEM
M-1989-772;GAJRVIDE 1:59 STORA GOTHEM
M-1989-773;TYSTEBOLS 1:31 STENKYRKA
M-1989-774;NYGèRDS 1:201 VéSTERHEJDE
M-1989-776;KNAPPSTORP 1:1 FOLE
M-1989-777;RINGVIDE 1:92 STENKYRKA
M-1989-778;KORKSTéDE 1:245 TOFTA
M-1989-779;NORS 1:123 VéSKINDE
M-1989-780;GRAUSNE 1:62 STENKYRKA
M-1989-784;ANSARVE 3:20 TOFTA
M-1989-785;BèTICKE 1:2 ESKELHEM
M-1989-786;VéGUME ST 2:7 LéRBRO
M-1989-787;STENGRINDE 1:56 HELLVI
M-1989-788;ETEBOLS 1:66 LUMMELUNDA
