Diarienummer;Sökbegrepp;Fastighet;Fnr
M-1994-679;BLÄSNUNGS ST 1:47 VÄSKINDE BN:940183;;
M-1989-1393;BLÄSNUNGS ST 1:72 (AVST FRÅN);;
M-1992-1511;BLÄSNUNGS ST 3:1 3:2 SJÄLSÖ;;
M-1994-1927;BLÄSNUNGS ST 3:1 OCH 3:2 VÄSKINDE;;
M-1995-2024;BLÄSUNGS 1:A 1:32 VÄSKINDE;;
MHN-2018-4811;BN 2012/2585;;
M-1991-805;BOBBENARVE 1:79 HAMNEN 1:109;;
M-1994-2082;BOBBENARVE 2:2 OCKES 1:72 BURGSVIK;;
M-1992-1832;BOBBENARVE 9:1 ÖJA (F 1507);;
M-1993-1767;BOCKSARVE 1:42 (DEL AV) LEVIDE;;
M-1991-791;BOCKSARVE 1:42 (LOTT B) LEVID;;
M-1998-1757;BOCKSTIGEN;;
MHN-2018-295;BOCKSTIGEN;;
M-1994-623;BOGE;;
M-1996-1028;BOGE;;
M-1998-48;BOGE;;
M-1998-373;BOGE;;
M-1998-890;BOGE;;
M-1998-1005;BOGE;;
M-1999-2003;BOGE;;
M-2000-531;BOGE;;
M-1996-3065;BOGE LAXARVE;;
M-2000-540;BOGE LAXARVE 1:18-1:17;;
M-1997-887;"BOGE MOJNER 1;59";;
M-2000-3344;BOGE TJELDER 1:43 1:92;;
M-1989-463;BOGE TJÄLDER 1:34 1:35;;
M-2000-3658;BOGE TJÄLDER 1:43, 1:82;;
M-1996-53;BOGE TJÄLDER 1:84-1:91;;
M-1997-153;BOGE TJÄLDERS;;
M-1999-1839;BOGE TJÄLDERS;;
M-1998-1745;BOGE VESTES;;
M-1999-2201;BOGE VIKE;;
M-1998-2605;BOGE VITVIKEN;;
M-1989-310;BOGEGATAN VISBY;;
M-1994-312;BOGEGATAN VISBY;;
M-1994-427;BOGEGATAN VISBY;;
MHN-2015-3819;BOGSERBÅT ISBJÖRN AV WISBY VID KAJ;;
MHN-2016-1723;BOGSERBÅT ISBJÖRN AV WISBY VID KAJ;;
M-1990-1499;BOLARVE 3:2 SUDERBYS 1:24 HE;;
M-1994-2522;BOLARVE 3:2 VISBY/BN 941059;;
M-1994-1764;BOLLÄNGSVÄGEN LJUGARN;;
M-1993-1789;BOMUNDS I HAMMAREN;;
M-1989-725;BOMUNDS I HAMMAREN 1:18 1:26;;
M-1991-340;BONDARVE 1:12 (SYLFASTE) FOLL;;
M-1993-641;BONDARVE 1:17 HALLBJÄNS 7:1 GULDRUPE;;
M-1993-1668;BONDARVE 1:21 FOLE BN/930734;;
M-1995-947;BOPPARNS EKSTA;;
M-1993-1475;BOPPARVE 1:26 HEMSE 930649;;
M-1993-651;BOPPARVE 1:44 007 EKSTA;;
M-1995-157;BOPPARVE HEMSE;;
M-1995-2413;BOPPARVE HEMSE;;
M-1991-510;BORGEN KV 1 + 17 VISBY;;
M-1995-798;BORGEN VISBY;;
M-1995-944;BORGVIK;;
M-1991-443;BORGVIKS GATUKÖK;;
M-1994-2073;BOSARVE SPROGE;;
M-1994-387;BOSARVE STÅNGA;;
M-1989-1115;BOSSES VANDRARHEM TINGSTÄDE;;
M-1990-565;BOSSES VANDRARHEM TINGSTÄDE;;
M-1990-1712;BOSSES VANDRARHEM TINGSTÄDE;;
M-1991-124;BOSTADSHUS I ALSKOG;;
M-1989-513;BOSTADSKÖN;;
M-1994-268;BOTARVE 1:46 ÖJA BN:940099;;
M-1991-174;BOTE 1:1 1:3 NÄR;;
M-1991-322;BOTELS 1:8 1:5 LOJSTA;;
M-1991-746;BOTELS 1:8 1:5 LOJSTA;;
M-1995-1768;BOTERARVE 3:1 SANDA ROSENBYS 1:17 EKSELH;;
M-1990-2551;BOTERS 1:35 (AVST FR) ANGA;;
M-1991-315;BOTERS HEJNUM;;
M-1994-899;BOTMUNDS 1:33 OCH 1:34 VÄSTERHEJDE;;
M-1989-191;BOTMUNDS 1:37 OCH 1:24 VÄSTER;;
M-1989-733;BOTMUNDS 1:4 (AVST FR) VÄSTER;;
M-1990-1181;BOTMUNDS VÄSTEHEJDE;;
M-1991-222;BOTMUNDS VÄSTERHEJDE;;
M-1990-2148;BOTRAJVS GÅRD SPROGE;;
M-1993-1589;BOTTARVE 1.43 VAMLINGBO;;
